,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
134,<__main__.Entity object at 0x7f6723e362b0>,Between_Two_Ferns_with_Zach_Galifianakis,3,"['Work', 'TelevisionShow']","{161, 163, 173}",{'Between Two Ferns'},0.3271604938271605,0.2814814814814815
135,<__main__.Entity object at 0x7f67237f1518>,Puerto_Rico,15,[],"{2784, 2689, 2149, 2150, 166, 2574, 3121, 3122, 2579, 3124, 2581, 2997, 3000, 3064, 2780}","{'PR', 'Puerto Rico'}",0.09222222222222222,0.0
136,<__main__.Entity object at 0x7f6723cc9b70>,Hat,2,[],"{169, 711}",{'hat'},0.21250000000000002,0.21250000000000002
137,<__main__.Entity object at 0x7f6723c70eb8>,Podcast,6,[],"{994, 995, 838, 170, 846, 981}",{'podcast'},0.2215909090909091,0.18977272727272726
138,<__main__.Entity object at 0x7f6723e32cf8>,Tears,1,[],{172},{'tears'},0.29523809523809524,0.29523809523809524
139,<__main__.Entity object at 0x7f6723dbf2e8>,Americans_with_Disabilities_Act_of_1990,2,[],"{172, 189}",{'ADA'},0.047619047619047616,0.047619047619047616
140,<__main__.Entity object at 0x7f67237dd208>,Amazing_Stories,3,[],"{3035, 172, 2070}",{'amazing'},0.4984126984126985,0.6000000000000001
141,<__main__.Entity object at 0x7f6723e36320>,Zach_Galifianakis,1,"['Person', 'Artist', 'Agent', 'Comedian']",{173},{'Zach Galifianakis'},0.2814814814814815,0.2814814814814815
142,<__main__.Entity object at 0x7f67237915f8>,Mitt_Romney,4,"['Person', 'Agent', 'Politician']","{177, 2962, 181, 3126}","{'Romney', 'Mitt Romney'}",-0.01249999999999999,-0.22499999999999998
143,<__main__.Entity object at 0x7f67237bfcf8>,Tax,24,[],"{1280, 1033, 2826, 908, 2317, 2328, 2980, 2862, 177, 2872, 1081, 2874, 1724, 959, 2880, 1732, 970, 845, 863, 1897, 1006, 2289, 895}",{'tax'},0.16204572902942468,0.09687500000000003
144,<__main__.Entity object at 0x7f6723e1fb70>,Great_Guy,1,"['Work', 'Film']",{179},{'great guy'},0.7000000000000001,0.7000000000000001
145,<__main__.Entity object at 0x7f6723a7c9b0>,Happy_Anniversary_(1959_film),2,[],"{1749, 181}",{'Happy anniversary'},0.71875,0.71875
146,<__main__.Entity object at 0x7f67237d1898>,Trump_(card_games),10,[],"{3072, 1505, 1571, 228, 325, 3067, 183, 1689, 3003, 447}",{'trumps'},-0.09895833333333336,-0.10000000000000002
147,<__main__.Entity object at 0x7f6723cd4518>,Human,2,[],"{185, 731}",{'human'},0.16,0.16
148,<__main__.Entity object at 0x7f67239275f8>,Respect_(magazine),6,"['WrittenWork', 'Work', 'PeriodicalLiterature', 'Magazine']","{2020, 2472, 2093, 947, 1210, 187}",{'respect.'},0.15238095238095237,0.0
149,<__main__.Entity object at 0x7f67239b3320>,History_of_the_United_States_Democratic_Party,7,"['Organisation', 'Agent', 'PoliticalParty']","{1222, 1288, 616, 1356, 461, 2287, 189}","{'Democratic Party', 'Democrats'}",0.1492063492063492,0.0
150,<__main__.Entity object at 0x7f6723816ba8>,Elevator,11,[],"{2886, 2535, 1291, 237, 1933, 1296, 2910, 2098, 1140, 2876, 190}",{'lift'},-0.03207070707070707,-0.125
151,<__main__.Entity object at 0x7f67237bd550>,Minimum_wage,12,[],"{704, 193, 1923, 2179, 1893, 613, 2885, 2886, 3018, 2895, 1976}",{'minimum wage'},0.072910927456382,0.0
152,<__main__.Entity object at 0x7f67237f12e8>,Bill_Clinton,13,"['Person', 'Agent', 'Politician']","{193, 1314, 2498, 3111, 2058, 655, 723, 2583, 1240, 2361, 1082, 605, 2461}","{'Bill Clinton', 'Clinton'}",0.07777777777777778,0.0
153,<__main__.Entity object at 0x7f6723dbd320>,Tide,1,[],{197},{'tide'},0.5,0.5
154,<__main__.Entity object at 0x7f67237d1710>,Violence,19,[],"{1953, 1058, 2435, 1060, 197, 2214, 2244, 2824, 3034, 3048, 1963, 2030, 240, 2227, 2039, 440, 2169, 986, 2143}",{'violence'},0.1556140350877193,0.0
155,<__main__.Entity object at 0x7f67239a7390>,African_Americans,11,['EthnicGroup'],"{2278, 199, 2026, 2031, 594, 500, 1717, 2037, 2047, 316, 1855}","{'Black', 'African American', 'African Americans'}",0.011060606060606059,0.0
156,<__main__.Entity object at 0x7f672391a128>,Orlando_Magic,18,"['SportsTeam', 'Organisation', 'Agent', 'BasketballTeam']","{2144, 2437, 1702, 200, 2440, 2445, 1998, 2446, 2448, 2452, 2453, 2390, 2423, 2428, 2426, 2364, 2430, 2367}",{'Orlando'},0.02297979797979797,0.0
157,<__main__.Entity object at 0x7f672379b710>,Debt,15,[],"{2304, 225, 484, 1732, 2756, 201, 2059, 845, 462, 3150, 2166, 2873, 2650, 1087}","{'debt', 'Debt'}",0.18191094619666048,0.125
158,<__main__.Entity object at 0x7f6723dbd3c8>,Shooting_of_Terence_Crutcher,1,[],{202},{'Terence Crutcher'},0.5,0.5
159,<__main__.Entity object at 0x7f672397c438>,Student_debt,18,[],"{289, 961, 1724, 612, 2180, 2201, 487, 203, 275, 468, 467, 469, 470, 1049, 476, 477, 2105, 2079}","{'student debt', 'Student debt'}",0.18908730158730158,0.2
160,<__main__.Entity object at 0x7f672388dcc0>,Foundation_for_Art_and_Creative_Technology,4,"['RouteOfTransportation', 'Place', 'Location', 'Infrastructure', 'ArchitecturalStructure', 'Road']","{1888, 265, 204, 2644}",{'FACT'},0.075,0.0
161,<__main__.Entity object at 0x7f6723d73fd0>,Charitable_organization,7,[],"{459, 204, 205, 589, 498, 213, 216}","{'charity', 'charitable foundation'}",0.2433982683982684,0.2787878787878788
162,<__main__.Entity object at 0x7f6723b3c6d8>,Republican_Party_of_Minnesota,2,"['Organisation', 'Agent', 'PoliticalParty']","{1400, 205}",{'Republican'},0.325,0.325
