,entita,label,count,types,occurrences,plain_text,sentiment_mean,sentiment_median
313,<__main__.Entity object at 0x7f31882fe860>,Ku_Klux_Klan,2,[],"{322, 303}",{'KKK'},-0.15,-0.15
314,<__main__.Entity object at 0x7f3187d40208>,Heroin,2,"['ChemicalSubstance', 'Drug']","{304, 2652}","{'Heroin', 'heroin'}",0.13683712121212122,0.13683712121212122
315,<__main__.Entity object at 0x7f3187c764a8>,WALL,6,"['Organisation', 'Broadcaster', 'Agent', 'RadioStation']","{1231, 304, 1232, 2959, 2076, 2652}",{'WALL'},0.13450126262626264,0.0014204545454545442
316,<__main__.Entity object at 0x7f31882f7d30>,Amyloid_precursor_protein,1,"['Gene', 'Biomolecule', 'HumanGene']",{306},{'APP'},0.17045454545454544,0.17045454545454544
317,<__main__.Entity object at 0x7f3187ed79b0>,"Phoenix,_Arizona",5,"['Settlement', 'PopulatedPlace', 'Place', 'Location', 'City']","{1028, 1034, 1042, 307, 1982}","{'Phoenix, AZ', 'Phoenix, Arizona', 'PHOENIX, AZ'}",0.1,0.0
318,<__main__.Entity object at 0x7f31882ec278>,United_States_Army,1,"['Organisation', 'Agent', 'MilitaryUnit']",{310},{'Army'},0.0,0.0
319,<__main__.Entity object at 0x7f31882eccf8>,Insider_threat,1,[],{310},{'insider threat'},0.0,0.0
320,<__main__.Entity object at 0x7f31882ec240>,Party_Over,1,"['Work', 'MusicalWork', 'Song']",{311},{'Party Over'},-0.1,-0.1
321,<__main__.Entity object at 0x7f3188118358>,Tactical_voting,2,[],"{1019, 311}",{'Support'},-0.05,-0.05
322,<__main__.Entity object at 0x7f31882f78d0>,Population_reconstruction,1,[],{312},{'Recovery'},0.0,0.0
323,<__main__.Entity object at 0x7f3187d48b00>,MSNBC,5,"['Organisation', 'Broadcaster', 'Agent', 'TelevisionStation']","{2689, 2470, 1129, 2416, 315}",{'MSNBC'},0.288,0.25
324,<__main__.Entity object at 0x7f3187eeb278>,Apologize_(OneRepublic_song),4,"['Work', 'MusicalWork', 'Song']","{2024, 1382, 315, 475}",{'Apologize'},-0.0008333333333333422,0.041666666666666664
325,<__main__.Entity object at 0x7f31882fca58>,Hispanic,1,[],{316},{'Hispanics'},0.3125,0.3125
326,<__main__.Entity object at 0x7f318823ae80>,Poverty,5,[],"{391, 329, 623, 316, 317}",{'poverty'},0.30079629629629634,0.25
327,<__main__.Entity object at 0x7f31882fc7f0>,Statistics,1,[],{316},{'statistics'},0.3125,0.3125
